n;t_ns
314;2.090e+02
314;1.910e+02
314;1.920e+02
314;1.910e+02
314;1.900e+02
314;1.910e+02
314;1.940e+02
314;1.900e+02
314;1.920e+02
314;1.900e+02
314;1.930e+02
1000;6.030e+02
1000;5.860e+02
1000;5.800e+02
1000;5.660e+02
1000;5.630e+02
1000;5.550e+02
1000;5.480e+02
1000;5.490e+02
1000;5.480e+02
1000;5.470e+02
1000;5.550e+02
3141;1.845e+03
3141;1.906e+03
3141;1.831e+03
3141;1.855e+03
3141;1.846e+03
3141;1.819e+03
3141;1.818e+03
3141;1.804e+03
3141;1.799e+03
3141;1.792e+03
3141;1.815e+03
10000;5.856e+03
10000;5.854e+03
10000;5.845e+03
10000;5.882e+03
10000;5.819e+03
10000;5.842e+03
10000;5.869e+03
10000;5.797e+03
10000;5.844e+03
10000;5.799e+03
10000;5.825e+03
31415;1.829e+04
31415;1.829e+04
31415;1.840e+04
31415;1.872e+04
31415;1.878e+04
31415;1.875e+04
31415;1.855e+04
31415;1.880e+04
31415;1.880e+04
31415;1.903e+04
31415;1.886e+04
100000;6.035e+04
100000;5.922e+04
100000;5.889e+04
100000;5.959e+04
100000;5.951e+04
100000;5.891e+04
100000;5.905e+04
100000;5.904e+04
100000;5.832e+04
100000;5.821e+04
100000;5.823e+04
